name,tag_type,source
Vijaya Bank Layout,place:neighbourhood,osm
Byatarayanapura,place:neighbourhood,osm
Meenakshi Layout,place:neighbourhood,osm
Raja Ram Mohan Roy Extension,place:neighbourhood,osm
Jakkur Plantation,place:neighbourhood,osm
Gastikempanahalli,place:village,osm
Srinivasapura,place:village,osm
Thirumenahalli,place:village,osm
Dr. Shivaram Karanth Nagar,place:quarter,osm
Sapthagiri Layout,place:neighbourhood,osm
Rukmini Nagara,place:neighbourhood,osm
ISRO Colony,place:neighbourhood,osm
Corporation Quarters,place:neighbourhood,osm
Bethel Layout,place:neighbourhood,osm
